CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.38.4632.01A.01R.1755.07	0	0	0.187	0.142	0.093	0.192	0.298	0.159	0.092	0.131	0.325	0.078	0.051	0.017	0.083	0.277	0.086	0.138	0.323	0.304	0.096	0.059	0.122	0.207	0.777
TCGA.38.4632.11A.01R.1755.07	0	0.024	0.303	0.061	0.061	0.051	0.285	0.127	0.096	0.152	0.353	0.031	0	0.097	0.195	0.314	0.068	0.121	0.411	0.36	0.145	0.11	0.087	0.172	0.839
TCGA.38.6178.01A.11R.1755.07	0	0.077	0.119	0.065	0.115	0.08	0.278	0.092	0.126	0.161	0.327	0.116	0.003	0.062	0.064	0.132	0.11	0.153	0.17	0.221	0.133	0.07	0.184	0.169	0.636
TCGA.38.7271.01A.11R.2039.07	0	0.048	0.209	0.079	0.154	0.115	0.313	0.061	0.099	0.114	0.491	0.121	0	0.086	0.095	0.14	0.204	0	0.188	0.356	0.036	0.111	0.17	0.308	0.701
TCGA.38.A44F.01A.11R.A24H.07	0	0.052	0.208	0.094	0.076	0.045	0.241	0.176	0.1	0.135	0.411	0.09	0.033	0.085	0.131	0.182	0.129	0.119	0.225	0.373	0.063	0.051	0.256	0.23	0.788
TCGA.44.2655.01A.01R.0946.07	0	0.062	0.101	0.067	0.072	0.091	0.232	0.056	0.154	0.168	0.41	0.118	0.037	0.058	0.161	0.199	0.161	0.083	0.168	0.364	0.095	0.044	0.183	0.177	0.716
TCGA.44.2655.11A.01R.1758.07	0	0.022	0.166	0.046	0.059	0.005	0.151	0.074	0.144	0.146	0.371	0.05	0.021	0.224	0.155	0.112	0.093	0.153	0.255	0.383	0.228	0.073	0.188	0.135	0.773
TCGA.44.2656.01A.02R.0946.07	0	0.039	0.244	0.127	0.096	0.104	0.318	0.203	0.083	0.045	0.385	0.131	0.018	0.028	0.091	0.184	0.105	0.073	0.285	0.327	0.092	0.091	0.182	0.25	0.749
TCGA.44.2657.01A.01R.1107.07	0	0.041	0.219	0.144	0.153	0.046	0.266	0.173	0.092	0.116	0.414	0.111	0.003	0.045	0.076	0.166	0.24	0.021	0.213	0.358	0.022	0.103	0.224	0.255	0.75
TCGA.44.2657.11A.01R.1758.07	0	0.026	0.183	0.112	0.114	0.036	0.299	0.117	0.081	0.106	0.47	0.068	0.004	0.115	0.127	0.164	0.266	0.047	0.237	0.343	0.091	0.099	0.188	0.24	0.789
TCGA.44.2659.01A.01R.0946.07	0	0.093	0.163	0.066	0.132	0.12	0.271	0.146	0.113	0.126	0.37	0.119	0.032	0.02	0.101	0.16	0.108	0.074	0.208	0.327	0.084	0.089	0.193	0.298	0.726
TCGA.44.2661.01A.01R.1107.07	0	0.036	0.174	0.113	0.149	0.087	0.283	0.155	0.101	0.127	0.383	0.078	0.02	0.08	0.14	0.249	0.157	0.103	0.304	0.309	0.094	0.072	0.205	0.246	0.834
TCGA.44.2661.11A.01R.1758.07	0	0.03	0.185	0.06	0.079	0.021	0.256	0.134	0.135	0.144	0.398	0.066	0.02	0.166	0.123	0.215	0.105	0.147	0.316	0.351	0.187	0.07	0.179	0.163	0.832
TCGA.44.2662.01A.01R.0946.07	0	0.036	0.165	0.067	0.104	0.115	0.295	0.058	0	0.167	0.257	0.065	0.022	0.121	0.084	0.2	0.167	0.311	0.411	0.185	0.185	0	0.132	0.097	0.845
