CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.AK.3461.01A.02R.1277.07	0	0.005	0.248	0.072	0.15	0.182	0.253	0.192	0.392	0.133	0.293	0.14	0	0.125	0.117	0.129	0.036	0.117	0.162	0.319	0.139	0.108	0.209	0.143	0.668
TCGA.AK.3465.01A.02R.1325.07	0.012	0.124	0.131	0	0.142	0.182	0.199	0.039	0.354	0.154	0.136	0.148	0	0.084	0.149	0.137	0.037	0.07	0.101	0.159	0.148	0.074	0.251	0.077	0.523
TCGA.AS.3777.01A.01R.0864.07	0	0.01	0.123	0.05	0.108	0.176	0.191	0.15	0.309	0.188	0.217	0.14	0.049	0.1	0.162	0.206	0.065	0.079	0.251	0.188	0.108	0.02	0.192	0.126	0.648
TCGA.AS.3778.01A.01R.A32Z.07	0	0	0.213	0.05	0.137	0.202	0.229	0.102	0.39	0.139	0.283	0.104	0	0.163	0.127	0.195	0.068	0.137	0.257	0.294	0.1	0.08	0.205	0.138	0.742
TCGA.B0.4688.01A.01R.1277.07	0	0	0.21	0.063	0.172	0.32	0.366	0.132	0.299	0.081	0.068	0.025	0	0.116	0.092	0.211	0.055	0.157	0.335	0.185	0.117	0.05	0.135	0.101	0.691
TCGA.B0.4690.01A.01R.1277.07	0	0.028	0.212	0.143	0.142	0.286	0.273	0.228	0.336	0.173	0.256	0.144	0	0.069	0.098	0.175	0.083	0.121	0.355	0.279	0.079	0	0.184	0.174	0.772
TCGA.B0.4691.01A.01R.1277.07	0	0	0.283	0.104	0.155	0.173	0.248	0.187	0.357	0.113	0.37	0.169	0	0.103	0.141	0.149	0.083	0.088	0.199	0.377	0.037	0.086	0.204	0.214	0.72
TCGA.B0.4693.01A.01R.1277.07	0	0	0.264	0.097	0.159	0.208	0.223	0.195	0.381	0.12	0.323	0.171	0.01	0.077	0.134	0.153	0.076	0.093	0.237	0.302	0.089	0.062	0.226	0.173	0.719
TCGA.B0.4694.01A.01R.1277.07	0	0.003	0.214	0.113	0.144	0.241	0.271	0.21	0.335	0.156	0.302	0.165	0	0.104	0.122	0.292	0.047	0.099	0.35	0.314	0.021	0.078	0.182	0.212	0.808
TCGA.B0.4696.01A.01R.1277.07	0.032	0.165	0	0	0.24	0.167	0.193	0	0	0.113	0	0.079	0	0.08	0	0.22	0.063	0.14	0.252	0.059	0.167	0	0.152	0.017	0.571
TCGA.B0.4697.01A.01R.1277.07	0	0	0.259	0.171	0.204	0.173	0.22	0.225	0.331	0.021	0.361	0.14	0	0.126	0.139	0.154	0.162	0.077	0.226	0.313	0.012	0.089	0.238	0.246	0.762
TCGA.B0.4698.01A.01R.1503.07	0	0	0.248	0.155	0.13	0.265	0.39	0.29	0.39	0	0.283	0.155	0	0.076	0.064	0.234	0.014	0.076	0.268	0.347	0.062	0.033	0.151	0.236	0.741
TCGA.B0.4699.01A.01R.1277.07	0	0.01	0.28	0.147	0.157	0.264	0.291	0.261	0.258	0.067	0.179	0.134	0	0.056	0.147	0.19	0.054	0.041	0.285	0.285	0.034	0.039	0.182	0.176	0.665
TCGA.B0.4700.01A.02R.1541.07	0	0.013	0.257	0.118	0.138	0.241	0.243	0.231	0.354	0.136	0.339	0.13	0	0.135	0.179	0.183	0.069	0.072	0.25	0.327	0	0.093	0.202	0.25	0.722
TCGA.B0.4700.11A.01R.1541.07	0.008	0.047	0.091	0.043	0.073	0.177	0.231	0.087	0.421	0.22	0.166	0.069	0.002	0.117	0.132	0.104	0.073	0.045	0.122	0.238	0.153	0.025	0.216	0.078	0.549
TCGA.B0.4701.01A.01R.1277.07	0	0.041	0.202	0.078	0.17	0.207	0.292	0.207	0.396	0.116	0.303	0.157	0	0.098	0.102	0.177	0.072	0.091	0.23	0.335	0.067	0.063	0.216	0.178	0.728
TCGA.B0.4703.01A.01R.1277.07	0	0.042	0.208	0.103	0.151	0.211	0.264	0.211	0.319	0.09	0.3	0.173	0.01	0.078	0.146	0.163	0.081	0.135	0.228	0.274	0.068	0.039	0.231	0.15	0.709
TCGA.B0.4706.01A.01R.1503.07	0	0.024	0.277	0.11	0.082	0.144	0.161	0.229	0.377	0.139	0.322	0.124	0.001	0.135	0.129	0.042	0.06	0.073	0.069	0.398	0.111	0.128	0.186	0.204	0.609
TCGA.B0.4707.01A.01R.1277.07	0	0.063	0.236	0.112	0.135	0.238	0.221	0.221	0.297	0.181	0.299	0.148	0.02	0.066	0.103	0	0.077	0.048	0	0.325	0.076	0.1	0.203	0.241	0.517
TCGA.B0.4710.01A.01R.1503.07	0	0	0.338	0.066	0.158	0.149	0.157	0.148	0.395	0.137	0.334	0.139	0	0.121	0.123	0.13	0.09	0.091	0.193	0.332	0.138	0.081	0.223	0.158	0.722
TCGA.B0.4712.01A.01R.1503.07	0	0.013	0.237	0.115	0.137	0.22	0.22	0.24	0.377	0.144	0.288	0.144	0.003	0.099	0.144	0.197	0.101	0.104	0.296	0.306	0.047	0.026	0.174	0.196	0.758
TCGA.B0.4712.11A.02R.1503.07	0.003	0.064	0.103	0.008	0.085	0.181	0.13	0.094	0.341	0.264	0.041	0.061	0	0.069	0.115	0.081	0.053	0.046	0.049	0.21	0.204	0.053	0.169	0.081	0.476
TCGA.B0.4713.01A.01R.1277.07	0	0.028	0.264	0.101	0.135	0.172	0.266	0.183	0.366	0.15	0.314	0.14	0.009	0.065	0.163	0.131	0.067	0.125	0.162	0.389	0.06	0.071	0.2	0.199	0.711
TCGA.B0.4714.01A.01R.1277.07	0	0.011	0.287	0.126	0.14	0.162	0.232	0.229	0.339	0.101	0.315	0.138	0	0.121	0.127	0.164	0.094	0.071	0.234	0.357	0.037	0.103	0.206	0.228	0.742
TCGA.B0.4718.01A.01R.1277.07	0	0	0.254	0.06	0.146	0.167	0.18	0.151	0.38	0.113	0.364	0.113	0	0.124	0.146	0.153	0.089	0.052	0.207	0.332	0.089	0.103	0.207	0.182	0.699
TCGA.B0.4810.01A.01R.1503.07	0	0.008	0.278	0.119	0.141	0.18	0.227	0.218	0.357	0.102	0.317	0.135	0	0.128	0.139	0.184	0.077	0.091	0.25	0.351	0.041	0.101	0.205	0.199	0.745
TCGA.B0.4811.01A.01R.1503.07	0	0.05	0.25	0.094	0.155	0.158	0.151	0.177	0.37	0.127	0.301	0.07	0.027	0.151	0.17	0.159	0.055	0.102	0.164	0.364	0.084	0.073	0.232	0.137	0.691
TCGA.B0.4813.01A.01R.1277.07	0	0.084	0.196	0.058	0.195	0.201	0.202	0.084	0.35	0.139	0.285	0.028	0	0.122	0.19	0.157	0.056	0.124	0.278	0.316	0.1	0.007	0.181	0.109	0.704
TCGA.B0.4814.01A.01R.1277.07	0	0.014	0.221	0.033	0.16	0.184	0.188	0.11	0.419	0.142	0.268	0.129	0.011	0.147	0.137	0.173	0.097	0.127	0.207	0.323	0.09	0.086	0.185	0.148	0.719
TCGA.B0.4815.01A.01R.1503.07	0	0	0.243	0.136	0.198	0.25	0.279	0.231	0.36	0.074	0.317	0.151	0	0.133	0.114	0.158	0.122	0.076	0.278	0.316	0.04	0.039	0.196	0.243	0.761
TCGA.B0.4816.01A.01R.1503.07	0	0	0.265	0.059	0.134	0.148	0.174	0.127	0.423	0.137	0.283	0.115	0	0.16	0.127	0.203	0.057	0.152	0.317	0.335	0.103	0.092	0.193	0.13	0.794
TCGA.B0.4817.01A.01R.1277.07	0	0	0.321	0.101	0.166	0.163	0.173	0.131	0.422	0.137	0.296	0.042	0.01	0.028	0.208	0.112	0	0.173	0.211	0.361	0.214	0.044	0.233	0.132	0.765
TCGA.B0.4818.01A.01R.1503.07	0	0.005	0.275	0.08	0.182	0.18	0.25	0.188	0.403	0.112	0.35	0.179	0.005	0.052	0.108	0.14	0.119	0.079	0.198	0.338	0.063	0.104	0.204	0.177	0.703
TCGA.B0.4819.01A.01R.1277.07	0	0.019	0.272	0.132	0.156	0.234	0.293	0.2	0.334	0.048	0.385	0.139	0	0.149	0.154	0.159	0.058	0.036	0.24	0.352	0.017	0.058	0.242	0.242	0.718
TCGA.B0.4821.01A.01R.1503.07	0	0.033	0.297	0.125	0.123	0.222	0.155	0.213	0.388	0.145	0.361	0.03	0	0.084	0.122	0.07	0.063	0.078	0.111	0.402	0.081	0.124	0.199	0.235	0.661
TCGA.B0.4822.01A.01R.1277.07	0	0.05	0.273	0.065	0.152	0.213	0.186	0.108	0.361	0.161	0.338	0.081	0	0.158	0.159	0.245	0.054	0.104	0.264	0.373	0.041	0.062	0.221	0.221	0.812
TCGA.B0.4823.01A.02R.1420.07	0	0	0.219	0.076	0.164	0.217	0.194	0.144	0.393	0.13	0.291	0.15	0.006	0.155	0.122	0.237	0.057	0.12	0.297	0.293	0.078	0.067	0.189	0.153	0.76
