CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A6.6654.01A.21R.1839.07	0	0.035	0.381	0.129	0.097	0.102	0.336	0.226	0.287	0.1	0.354	0.057	0	0.056	0.166	0.323	0.062	0.218	0.431	0.255	0.095	0.065	0.169	0.263	0.884
TCGA.A6.6780.01A.11R.1839.07	0	0	0.406	0.205	0.054	0.063	0.277	0.406	0.235	0.066	0.309	0.042	0.041	0	0.191	0.336	0.088	0.184	0.464	0.302	0.099	0.081	0.098	0.28	0.9
TCGA.A6.6781.01A.22R.1928.07	0	0.012	0.42	0.174	0.075	0.078	0.352	0.261	0.303	0.173	0.243	0	0	0	0.218	0.199	0.045	0.237	0.448	0.364	0.129	0.065	0.114	0.228	0.859
TCGA.A6.6782.01A.11R.1839.07	0	0.045	0.376	0.141	0.098	0.051	0.217	0.197	0.287	0.159	0.324	0.047	0.009	0.108	0.151	0.144	0.084	0.194	0.383	0.347	0.135	0.063	0.163	0.221	0.814
TCGA.A6.A565.01A.31R.A28H.07	0	0.037	0.295	0.076	0.097	0.044	0.35	0.179	0.315	0.167	0.403	0.082	0	0.126	0.236	0.101	0.172	0.122	0.202	0.244	0.1	0.022	0.254	0.272	0.714
TCGA.A6.A566.01A.11R.A28H.07	0	0.081	0.28	0.144	0.097	0.102	0.397	0.159	0.231	0.175	0.215	0	0.002	0.088	0.185	0.294	0.051	0.234	0.468	0.201	0.102	0.014	0.165	0.193	0.832
TCGA.A6.A567.01A.31R.A28H.07	0	0.013	0.228	0.053	0	0.135	0.273	0.165	0.241	0.255	0.096	0	0.05	0.171	0.202	0.121	0.096	0.188	0.182	0.23	0.185	0	0.171	0.134	0.636
TCGA.A6.A56B.01A.31R.A28H.07	0	0.095	0.117	0.06	0.043	0.074	0.255	0.124	0.076	0.132	0.172	0	0	0.082	0.157	0.261	0.081	0.259	0.29	0	0.2	0.06	0.117	0.069	0.621
TCGA.A6.A5ZU.01A.11R.A28H.07	0	0.059	0.311	0.139	0.115	0.09	0.345	0.16	0.267	0.126	0.2	0.071	0.042	0.03	0.11	0.195	0.121	0.226	0.373	0.17	0.144	0.052	0.146	0.185	0.759
TCGA.AA.3489.01A.21R.1839.07	0	0.006	0.372	0.164	0.129	0.048	0.304	0.295	0.289	0.104	0.331	0.058	0.016	0.089	0.135	0.166	0.216	0.188	0.388	0.338	0.083	0.068	0.204	0.222	0.879
TCGA.AA.3489.11A.01R.1839.07	0	0	0.376	0.131	0.049	0	0.183	0.318	0.35	0.167	0.33	0.008	0.059	0.175	0.271	0.188	0.111	0.101	0.395	0.337	0.123	0.062	0.162	0.214	0.794
TCGA.AA.3492.01A.01R.1410.07	0	0.006	0.327	0.166	0.056	0.174	0.253	0.295	0.153	0.182	0.191	0.008	0.063	0.076	0.116	0.244	0.053	0.171	0.369	0.277	0.136	0.055	0.054	0.23	0.747
TCGA.AA.3495.01A.01R.1410.07	0	0.019	0.301	0.129	0.105	0.105	0.278	0.221	0.3	0.161	0.28	0.032	0.026	0.141	0.232	0.164	0.108	0.159	0.253	0.263	0.167	0.013	0.145	0.227	0.723
TCGA.AA.3496.01A.21R.1839.07	0	0.028	0.326	0.127	0.101	0.077	0.305	0.317	0.251	0.168	0.263	0.039	0.039	0.109	0.171	0.226	0.109	0.226	0.367	0.245	0.133	0.063	0.155	0.185	0.8
TCGA.AA.3496.11A.01R.1839.07	0	0	0.267	0.089	0.038	0	0.205	0.153	0.362	0.192	0.289	0.007	0.027	0.228	0.308	0.179	0.127	0.127	0.33	0.3	0.15	0.043	0.184	0.221	0.788
TCGA.AA.3502.01A.01R.1410.07	0	0.03	0.232	0.072	0.069	0.108	0.272	0.18	0.334	0.227	0.364	0.012	0.021	0.1	0.239	0.185	0.106	0.158	0.285	0.248	0.125	0	0.14	0.199	0.703
TCGA.AA.3506.01A.01R.1410.07	0	0	0.283	0.127	0.065	0.174	0.314	0.211	0.248	0.147	0.294	0.022	0.011	0.152	0.209	0.15	0.088	0.193	0.279	0.289	0.159	0.027	0.136	0.259	0.755
TCGA.AA.3509.01A.01R.1410.07	0	0.065	0.23	0.151	0.103	0.105	0.284	0.162	0.14	0.161	0.205	0.03	0.018	0.123	0.177	0.168	0.059	0.164	0.325	0.158	0.171	0.043	0.149	0.264	0.71
TCGA.AA.3511.01A.21R.1839.07	0	0.071	0.289	0.066	0.089	0.117	0.314	0.164	0.314	0.225	0.121	0	0.034	0.079	0.205	0.173	0.089	0.205	0.295	0.19	0.188	0.004	0.123	0.153	0.689
TCGA.AA.3511.11A.01R.1839.07	0	0	0.292	0.074	0.1	0.032	0.242	0.163	0.325	0.204	0.387	0.042	0.039	0.153	0.289	0.102	0.313	0.013	0.184	0.305	0.124	0	0.194	0.243	0.719
TCGA.AA.3514.11A.01R.A32Z.07	0	0	0.395	0.12	0.07	0.027	0.205	0.296	0.305	0.187	0.302	0.006	0.055	0.149	0.232	0.126	0.148	0.105	0.321	0.341	0.164	0.055	0.128	0.284	0.787
