CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.EJ.7115.01A.11R.2118.07	0.012	0.043	0.243	0.043	0.11	0.065	0.17	0.1	0.302	0.149	0.164	0.046	0	0.172	0.218	0.097	0.067	0.106	0.172	0.244	0.129	0.033	0.109	0.116	0.624
TCGA.EJ.7115.11A.01R.2118.07	0.016	0.031	0.236	0.079	0.034	0.106	0.167	0.105	0.32	0.156	0.154	0.037	0.038	0.16	0.183	0.065	0.134	0.076	0.088	0.328	0.119	0.055	0.109	0.142	0.637
TCGA.EJ.7123.01A.11R.1965.07	0.011	0.04	0.191	0.093	0.129	0.09	0.17	0.077	0.227	0.183	0.07	0.015	0.038	0.107	0.177	0.124	0.066	0.119	0.19	0.159	0.155	0.036	0.082	0.13	0.616
TCGA.EJ.7123.11A.01R.1965.07	0	0	0.237	0.056	0.13	0.041	0.22	0.039	0.325	0.093	0.184	0.055	0	0.243	0.251	0.085	0.058	0.123	0.196	0.328	0.096	0.059	0.143	0.122	0.692
TCGA.EJ.7125.01A.11R.1965.07	0	0.027	0.25	0.084	0.137	0.086	0.132	0.106	0.3	0.151	0.256	0.14	0	0.085	0.134	0.164	0.087	0.104	0.218	0.213	0.126	0.041	0.097	0.152	0.697
TCGA.EJ.7125.11A.01R.1965.07	0	0.031	0.209	0.151	0.048	0.043	0.106	0.144	0.337	0.134	0.308	0.093	0.069	0.121	0.18	0.111	0.073	0.056	0.18	0.337	0.051	0.088	0.104	0.188	0.661
TCGA.EJ.7218.01B.11R.A32O.07	0.008	0.022	0.182	0.093	0.096	0.094	0.13	0.096	0.316	0.166	0.165	0.034	0.07	0.109	0.156	0.114	0.088	0.106	0.184	0.232	0.131	0.04	0.144	0.142	0.687
TCGA.EJ.7312.01B.21R.A32O.07	0	0.023	0.23	0.049	0.104	0.029	0.06	0.135	0.294	0.146	0.072	0.023	0.003	0.155	0.155	0.094	0.078	0.13	0.194	0.296	0.141	0.055	0.108	0.128	0.703
TCGA.EJ.7314.01A.31R.2118.07	0.002	0.029	0.166	0.11	0	0.107	0.135	0.092	0.253	0.185	0.109	0.026	0	0.063	0.118	0.097	0.067	0.114	0.121	0.249	0.173	0.099	0.018	0.124	0.578
TCGA.EJ.7314.11A.01R.2118.07	0.004	0.015	0.231	0.102	0.07	0.085	0.128	0.047	0.314	0.114	0.293	0.094	0	0.196	0.171	0.095	0.056	0.105	0.173	0.316	0.103	0.053	0.116	0.147	0.668
TCGA.EJ.7315.01A.31R.2118.07	0	0.033	0.266	0.02	0.154	0.091	0.236	0.144	0.308	0.125	0.332	0.146	0	0.139	0.166	0.151	0.175	0.053	0.152	0.327	0.096	0.044	0.145	0.211	0.787
TCGA.EJ.7315.11A.01R.2118.07	0	0	0.297	0.097	0.159	0.067	0.291	0.125	0.273	0.051	0.397	0.156	0	0.169	0.191	0.102	0.14	0.053	0.15	0.352	0.018	0.059	0.215	0.199	0.739
TCGA.EJ.7317.01A.31R.2118.07	0.016	0.029	0.143	0.093	0	0.08	0.09	0.048	0.271	0.169	0.035	0.029	0	0.093	0.19	0.093	0.064	0.135	0.167	0.245	0.198	0.017	0.028	0.098	0.618
TCGA.EJ.7317.11A.01R.2118.07	0.032	0.018	0.159	0.083	0	0.016	0.032	0.056	0.259	0.176	0.165	0.094	0	0.132	0.228	0.058	0.073	0.122	0.089	0.248	0.168	0.046	0.109	0.094	0.577
TCGA.EJ.7318.01B.11R.A32O.07	0	0.028	0.233	0.067	0.09	0.095	0.131	0.144	0.315	0.118	0.224	0.009	0.039	0.169	0.206	0.131	0.063	0.097	0.188	0.335	0.111	0.072	0.148	0.184	0.755
TCGA.EJ.7321.01A.31R.2263.07	0.026	0.029	0.265	0.059	0.129	0.126	0.24	0.164	0.271	0.14	0.322	0.143	0	0.076	0.126	0.119	0.106	0.06	0.069	0.256	0.094	0.057	0.157	0.162	0.614
TCGA.EJ.7321.11A.01R.2263.07	0	0	0.263	0.086	0.117	0.1	0.2	0.119	0.288	0.122	0.381	0.111	0.021	0.135	0.194	0.048	0.089	0.049	0.071	0.368	0.083	0.061	0.186	0.149	0.626
TCGA.EJ.7325.01B.11R.A32O.07	0	0.063	0.208	0.023	0.184	0.055	0.06	0.085	0.245	0.17	0.198	0	0.004	0.173	0.16	0.118	0.061	0.15	0.15	0.217	0.145	0.072	0.111	0.164	0.67
TCGA.EJ.7327.01A.11R.2118.07	0.002	0.035	0.229	0.038	0.077	0.142	0.213	0.096	0.305	0.132	0.207	0.068	0.028	0.106	0.141	0.121	0.071	0.127	0.22	0.283	0.121	0.05	0.143	0.147	0.741
TCGA.EJ.7327.11A.01R.2118.07	0.031	0.029	0.21	0.054	0	0.072	0.104	0.114	0.332	0.188	0.101	0.07	0.012	0.127	0.158	0.061	0.093	0.111	0.095	0.268	0.125	0.071	0.079	0.184	0.61
TCGA.EJ.7328.01A.31R.2118.07	0	0	0.296	0.042	0.129	0.099	0.253	0.128	0.284	0.115	0.325	0.119	0	0.153	0.239	0.111	0.067	0.096	0.171	0.331	0.076	0.072	0.192	0.19	0.742
TCGA.EJ.7328.11A.01R.2118.07	0	0	0.266	0.08	0.122	0.042	0.207	0.065	0.305	0.088	0.306	0.132	0	0.208	0.205	0.049	0.064	0.09	0.106	0.308	0.071	0.055	0.181	0.152	0.613
TCGA.EJ.7330.01A.11R.2118.07	0.001	0.028	0.226	0.11	0.094	0.108	0.165	0.047	0.29	0.123	0.187	0.05	0.021	0.165	0.194	0.093	0.05	0.099	0.177	0.307	0.131	0.057	0.124	0.109	0.655
TCGA.EJ.7330.11A.01R.2118.07	0	0	0.305	0.13	0.097	0.061	0.129	0.146	0.302	0.067	0.338	0.088	0.027	0.222	0.171	0.111	0.065	0.088	0.227	0.399	0.062	0.066	0.16	0.152	0.76
