CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.CN.4730.01A.01R.1436.07	0	0.084	0.223	0.064	0.146	0.084	0.071	0.062	0.083	0.221	0	0.073	0	0.115	0.199	0.217	0.084	0.152	0.169	0.044	0.233	0.021	0.039	0.223	0.609
TCGA.CN.4731.01A.01R.1436.07	0	0.052	0.302	0.141	0.092	0.075	0.083	0.036	0.205	0.214	0	0	0	0.127	0.247	0.206	0.079	0.161	0.15	0.167	0.198	0.091	0.018	0.27	0.656
TCGA.CN.4733.01A.02R.1873.07	0	0.029	0.401	0.138	0.26	0.109	0.221	0.222	0.136	0.054	0.365	0.109	0	0.078	0.216	0.211	0.126	0.077	0.224	0.28	0.075	0.123	0.183	0.314	0.781
TCGA.CN.4734.01A.01R.1436.07	0	0.053	0.439	0.095	0.145	0.1	0.191	0.315	0.197	0.147	0.27	0.113	0.003	0.002	0.269	0.197	0.071	0.137	0.213	0.278	0.112	0.062	0.131	0.232	0.719
TCGA.CN.4735.01A.01R.1436.07	0	0.02	0.392	0.106	0.149	0.086	0.19	0.275	0.206	0.206	0.248	0.067	0.003	0.082	0.183	0.23	0.1	0.164	0.223	0.262	0.104	0.081	0.173	0.225	0.776
TCGA.CN.4736.01A.01R.1436.07	0	0.021	0.433	0.126	0.13	0.092	0.238	0.277	0.136	0.072	0.274	0.056	0.018	0.128	0.219	0.243	0.054	0.172	0.289	0.248	0.094	0.099	0.121	0.313	0.804
TCGA.CN.4737.01A.01R.1436.07	0	0.081	0.334	0.063	0.189	0.072	0.22	0.085	0.148	0.141	0.096	0.031	0	0.155	0.235	0.228	0.05	0.226	0.248	0.206	0.15	0.004	0.145	0.197	0.761
TCGA.CN.4738.01A.02R.1514.07	0	0.062	0.353	0.081	0.176	0.086	0.191	0.227	0.163	0.193	0.292	0.101	0.022	0.012	0.203	0.153	0.08	0.169	0.205	0.213	0.117	0.108	0.201	0.267	0.737
TCGA.CN.4739.01A.02R.1514.07	0	0.068	0.395	0.066	0.191	0.115	0.217	0.123	0.156	0.111	0.303	0.143	0	0.054	0.167	0.067	0.159	0.139	0.116	0.235	0.162	0.126	0.195	0.319	0.73
TCGA.CN.4740.01A.01R.1436.07	0	0.069	0.402	0.107	0.176	0.063	0.211	0.18	0.091	0.123	0.22	0.067	0	0.114	0.229	0.217	0.052	0.208	0.348	0.252	0.114	0.143	0.146	0.251	0.833
TCGA.CN.4741.01A.01R.1436.07	0	0.099	0.357	0.039	0.153	0.104	0.168	0.116	0.214	0.109	0.234	0.053	0.038	0.022	0.236	0.128	0.118	0.131	0.146	0.192	0.135	0.132	0.159	0.266	0.669
TCGA.CN.4742.01A.02R.1514.07	0	0.094	0.305	0.054	0.201	0.121	0.208	0.062	0.114	0.203	0.072	0.079	0	0.136	0.233	0.208	0.099	0.188	0.225	0.155	0.179	0.029	0.129	0.215	0.733
TCGA.CN.5355.01A.01R.1436.07	0	0.096	0.29	0.022	0.224	0.083	0.204	0.058	0.154	0.217	0.134	0.092	0	0.122	0.259	0.123	0.096	0.182	0.157	0.113	0.155	0.033	0.157	0.218	0.629
TCGA.CN.5356.01A.01R.1436.07	0	0.108	0.318	0.032	0.213	0.097	0.184	0.076	0.172	0.169	0.186	0.118	0	0.053	0.219	0.088	0.116	0.145	0.142	0.179	0.162	0.119	0.124	0.301	0.66
