CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.CC.5264.01A.01R.A131.07	0.03	0.098	0.105	0.029	0.254	0.171	0.296	0.208	0.373	0.164	0.105	0.058	0.02	0.005	0.146	0.196	0.142	0.151	0.168	0.131	0.174	0	0.077	0.184	0.645
TCGA.CC.A123.01A.11R.A131.07	0.005	0.074	0.094	0.028	0.238	0.017	0.054	0.182	0.407	0.172	0.196	0	0	0.069	0.302	0.221	0.1	0.161	0.258	0.059	0.215	0	0.12	0.152	0.678
TCGA.CC.A1HT.01A.11R.A131.07	0	0.066	0.246	0.098	0.203	0.142	0.275	0.302	0.372	0.076	0.264	0.06	0.02	0.097	0.165	0.259	0.114	0.126	0.321	0.283	0.152	0.039	0.11	0.21	0.831
TCGA.CC.A3M9.01A.11R.A213.07	0	0.076	0.228	0.144	0.205	0.133	0.284	0.339	0.347	0	0.285	0.076	0	0.051	0.207	0.219	0.086	0.086	0.354	0.214	0.097	0.05	0.129	0.287	0.777
TCGA.CC.A3MA.01A.11R.A213.07	0.115	0.211	0.062	0.004	0.098	0.067	0.074	0.118	0.377	0.123	0.083	0.032	0	0.078	0.289	0.143	0.147	0.117	0.146	0.167	0.188	0.005	0.145	0.129	0.623
TCGA.CC.A3MB.01A.11R.A213.07	0	0.1	0.099	0.026	0.186	0.173	0.238	0.153	0.419	0.188	0.102	0	0	0.029	0.284	0.2	0.092	0.216	0.199	0.232	0.22	0.005	0.062	0.149	0.721
TCGA.CC.A3MC.01A.11R.A22L.07	0.026	0.066	0.068	0.026	0.197	0.091	0.197	0.158	0.367	0.174	0.196	0.019	0	0.074	0.292	0.207	0.15	0.197	0.215	0.205	0.174	0	0.109	0.169	0.752
TCGA.CC.A5UC.01A.11R.A28V.07	0.001	0.075	0.149	0.067	0.241	0.121	0.178	0.226	0.39	0.097	0.145	0.005	0	0.045	0.301	0.228	0.108	0.184	0.23	0.239	0.154	0.024	0.128	0.211	0.781
TCGA.CC.A5UD.01A.11R.A28V.07	0	0.173	0.144	0.004	0.194	0.121	0.223	0.203	0.288	0.163	0.077	0	0.07	0	0.268	0.118	0.098	0.178	0.141	0.132	0.178	0.032	0.069	0.209	0.592
TCGA.CC.A5UE.01A.11R.A28V.07	0.006	0.099	0.09	0	0.188	0.134	0.215	0.198	0.43	0.17	0.23	0	0	0	0.285	0.211	0.118	0.151	0.167	0.229	0.184	0	0.074	0.214	0.711
