CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A2.A0YM.01A.11R.A109.07	0	0.013	0.472	0.054	0.034	0.121	0.27	0.268	0.571	0.072	0.304	0.08	0.025	0.015	0.101	0.212	0.105	0.241	0.296	0.245	0.207	0.04	0.168	0.168	0.747
TCGA.A2.A0YT.01A.11R.A109.07	0	0.043	0.433	0.086	0.064	0.082	0.082	0.218	0.412	0.123	0.288	0.096	0.051	0.025	0.105	0.175	0.104	0.215	0.264	0.168	0.232	0.112	0.098	0.182	0.656
TCGA.A2.A1FV.01A.11R.A13Q.07	0	0.118	0.25	0	0.024	0.062	0.057	0.067	0.467	0.196	0.248	0.038	0	0.082	0.158	0.092	0.054	0.189	0.136	0.178	0.27	0.094	0.144	0.218	0.584
TCGA.A2.A1FW.01A.11R.A13Q.07	0	0.095	0.374	0.027	0.019	0.091	0.144	0.22	0.457	0.135	0.304	0.118	0.03	0.007	0.203	0.104	0.075	0.205	0.231	0.192	0.234	0.086	0.082	0.187	0.597
TCGA.A2.A1FX.01A.11R.A13Q.07	0	0.066	0.393	0.049	0.07	0.056	0.111	0.188	0.468	0.129	0.318	0.049	0.025	0.017	0.223	0.091	0.08	0.218	0.31	0.207	0.216	0.1	0.154	0.215	0.68
TCGA.A2.A1FZ.01A.51R.A14D.07	0	0.04	0.415	0.046	0.039	0.085	0.126	0.17	0.402	0.147	0.394	0.112	0.008	0.106	0.18	0.168	0.065	0.302	0.31	0.241	0.193	0.105	0.127	0.185	0.725
TCGA.A2.A1G0.01A.11R.A13Q.07	0	0.035	0.424	0.066	0.051	0.076	0.124	0.2	0.505	0.133	0.481	0.141	0	0.077	0.205	0.091	0.097	0.171	0.19	0.316	0.175	0.113	0.18	0.208	0.651
TCGA.A2.A1G1.01A.21R.A13Q.07	0	0.018	0.464	0.112	0.067	0.116	0.267	0.356	0.506	0.029	0.31	0.129	0.058	0	0.15	0.189	0.125	0.258	0.294	0.279	0.159	0.063	0.142	0.186	0.744
TCGA.A2.A1G4.01A.11R.A13Q.07	0	0.066	0.36	0.041	0.068	0.063	0.1	0.175	0.519	0.138	0.352	0.116	0.055	0.005	0.21	0.094	0.153	0.172	0.252	0.237	0.217	0.061	0.104	0.186	0.645
TCGA.A2.A1G6.01A.11R.A13Q.07	0	0.07	0.428	0.051	0.017	0.064	0.079	0.187	0.553	0.139	0.436	0.084	0.011	0.06	0.219	0.128	0.061	0.149	0.178	0.362	0.184	0.115	0.182	0.226	0.67
